,Patient,Gene1,Gene2,Edge,Curvature,Response
212,HS294T_SKIN,GRB2,EGFR,GRB2;EGFR,0.5677650040230136,1
213,HS294T_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.535427138473775,1
214,HS294T_SKIN,GRB2,SRC,GRB2;SRC,0.6009737003374289,1
215,HS294T_SKIN,GRB2,SHC3,GRB2;SHC3,0.5199903144066335,1
216,HS294T_SKIN,GRB2,SOS1,GRB2;SOS1,0.4255411511312036,1
217,HS294T_SKIN,SRC,ERBB3,SRC;ERBB3,0.5792226487648826,1
218,HS294T_SKIN,SRC,ERBB2,SRC;ERBB2,0.5456157123212078,1
219,HS294T_SKIN,SRC,EGFR,SRC;EGFR,0.5501930539488824,1
220,HS294T_SKIN,SRC,SOS1,SRC;SOS1,0.3300194034392374,1
221,HS294T_SKIN,SRC,SHC3,SRC;SHC3,0.473052384807765,1
222,HS294T_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.6487147788383534,1
223,HS294T_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.48986527187366435,1
224,HS294T_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.39000151166158425,1
225,HS294T_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.5339823614688246,1
226,HS294T_SKIN,EGFR,SHC3,EGFR;SHC3,0.432358213448523,1
227,HS294T_SKIN,EGFR,SOS1,EGFR;SOS1,0.16933210439139756,1
228,HS294T_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,1
229,HS294T_SKIN,SOS1,SHC3,SOS1;SHC3,-0.22143480306201746,1
230,HS294T_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.4730095385626967,1
231,HS688AT_FIBROBLAST,GRB2,ERBB3,GRB2;ERBB3,0.4965707339884594,0
232,HS688AT_FIBROBLAST,GRB2,ERBB2,GRB2;ERBB2,0.593916205321676,0
233,HS688AT_FIBROBLAST,GRB2,EGFR,GRB2;EGFR,0.5887797396271259,0
234,HS688AT_FIBROBLAST,GRB2,NTRK2,GRB2;NTRK2,0.14604413378885983,0
235,HS688AT_FIBROBLAST,GRB2,SRC,GRB2;SRC,0.6476420030706241,0
236,HS688AT_FIBROBLAST,GRB2,SHC3,GRB2;SHC3,0.46022777844107887,0
237,HS688AT_FIBROBLAST,GRB2,SOS1,GRB2;SOS1,0.47707012759310263,0
238,HS688AT_FIBROBLAST,SRC,ERBB3,SRC;ERBB3,0.5558185574253366,0
239,HS688AT_FIBROBLAST,SRC,ERBB2,SRC;ERBB2,0.6150706996740294,0
240,HS688AT_FIBROBLAST,SRC,EGFR,SRC;EGFR,0.602588476615475,0
241,HS688AT_FIBROBLAST,SRC,SOS1,SRC;SOS1,0.5403042501877842,0
242,HS688AT_FIBROBLAST,SRC,SHC3,SRC;SHC3,0.5423241055111852,0
243,HS688AT_FIBROBLAST,ERBB2,ERBB3,ERBB2;ERBB3,0.5421053050761058,0
244,HS688AT_FIBROBLAST,ERBB2,EGFR,ERBB2;EGFR,0.5509269648487454,0
245,HS688AT_FIBROBLAST,ERBB2,SHC3,ERBB2;SHC3,0.4409054531137244,0
246,HS688AT_FIBROBLAST,EGFR,ERBB3,EGFR;ERBB3,0.5103048164345888,0
247,HS688AT_FIBROBLAST,EGFR,SHC3,EGFR;SHC3,0.4951665188801735,0
248,HS688AT_FIBROBLAST,EGFR,SOS1,EGFR;SOS1,0.4431417216282696,0
249,HS688AT_FIBROBLAST,NTRK2,SHC3,NTRK2;SHC3,0.0,0
250,HS688AT_FIBROBLAST,SOS1,SHC3,SOS1;SHC3,0.1741647155062377,0
251,HS688AT_FIBROBLAST,ERBB3,SHC3,ERBB3;SHC3,0.0,0
252,HS839T_FIBROBLAST,GRB2,ERBB3,GRB2;ERBB3,0.5640928927576654,0
253,HS839T_FIBROBLAST,GRB2,ERBB2,GRB2;ERBB2,0.5993528120843586,0
254,HS839T_FIBROBLAST,GRB2,EGFR,GRB2;EGFR,0.6303516616857974,0
255,HS839T_FIBROBLAST,GRB2,NTRK2,GRB2;NTRK2,0.5750655772938789,0
256,HS839T_FIBROBLAST,GRB2,SRC,GRB2;SRC,0.6257888435317294,0
257,HS839T_FIBROBLAST,GRB2,SHC3,GRB2;SHC3,0.5349065131167887,0
258,HS839T_FIBROBLAST,GRB2,SOS1,GRB2;SOS1,0.529702124951065,0
259,HS839T_FIBROBLAST,SRC,ERBB3,SRC;ERBB3,0.5346027499703649,0
260,HS839T_FIBROBLAST,SRC,ERBB2,SRC;ERBB2,0.5733249844655759,0
261,HS839T_FIBROBLAST,SRC,EGFR,SRC;EGFR,0.6176041772628762,0
262,HS839T_FIBROBLAST,SRC,SOS1,SRC;SOS1,0.48668960915330606,0
263,HS839T_FIBROBLAST,SRC,SHC3,SRC;SHC3,0.48920020236267003,0
264,HS839T_FIBROBLAST,ERBB2,ERBB3,ERBB2;ERBB3,0.5215659777013133,0
265,HS839T_FIBROBLAST,ERBB2,EGFR,ERBB2;EGFR,0.5873167610625549,0
266,HS839T_FIBROBLAST,ERBB2,SHC3,ERBB2;SHC3,0.3949043016768833,0
267,HS839T_FIBROBLAST,EGFR,ERBB3,EGFR;ERBB3,0.5410383709028741,0
268,HS839T_FIBROBLAST,EGFR,SHC3,EGFR;SHC3,0.49986656522118744,0
269,HS839T_FIBROBLAST,EGFR,SOS1,EGFR;SOS1,0.5070527828246698,0
270,HS839T_FIBROBLAST,NTRK2,SHC3,NTRK2;SHC3,0.0,0
271,HS839T_FIBROBLAST,SOS1,SHC3,SOS1;SHC3,0.11764253293963933,0
272,HS839T_FIBROBLAST,ERBB3,SHC3,ERBB3;SHC3,0.0,0
